adresse,postnr,kommune,antal,beholder,tur,ml,mu,tl,tu,sum,uid,vejnavn,husnr,appendiks,type,fremsætter,lås,sæk,id,caveat
Gramrolighed 11,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,11,,90,True,False,True,0e14a7bc-77ae-4b5b-9aa8-eee6aab16e74,False
Gramrolighed 11,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,11,,130,True,False,True,44a6098c-c23b-4cfd-87f0-ffb8e87412dd,False
Gramrolighed 13,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,13,,90,True,False,True,a3974112-dcf3-4a1b-bc0e-2d06a7e86f2c,False
Gramrolighed 13,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,13,,130,True,False,True,22750d35-f7cf-4482-ab27-23644bd21442,False
Gramrolighed 14,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Gramrolighed,14,,240,False,False,False,c39f1e3b-90cf-41a0-b6d0-1fce3df8c0c2,False
Gråbrødregade 11,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Gråbrødregade,11,,140,True,False,False,eb53ad29-f06c-49c2-951d-42f476ca8a65,False
Gråbrødregade 11,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Gråbrødregade,11,,400,True,False,False,57c2bfde-51cc-49f0-be83-a225d95031fd,False
Gråbrødregade 15,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Gråbrødregade,15,,400,True,False,False,45ee4b10-a3d2-4680-a1da-a4e497500dda,False
Gråbrødregade 15,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Gråbrødregade,15,,140,True,False,False,adec3022-ffc8-423f-a867-f414c4c4cf9d,False
Grønnegade 3,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Grønnegade,3,,240,True,False,False,f291ea8b-b55b-4e2a-8d18-100f23947f36,False
Grønnegade 3,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Grønnegade,3,,240,True,False,False,47a99fda-546a-4829-8f22-ad9f07be9706,False
